destino,source,veinte,cuarenta,reason
Santo Domingo,Silver,5390.0,5820.0,Only available in one source
Keelung - TWKEL,FCL,2200.0,2350.0,Only available in one source
"Puerto Willemstad, Curazao",Silver,7460.0,8650.0,Only available in one source
Santa Cruz Tenerife (ESSCT),AiresDS,1772.0,1540.0,Only available in one source
Estocolmo(SESTO),FCL,3700.0,4000.0,Only available in one source
Koper (SIKOP),FCL,2550.0,2850.0,Only available in one source
Tanger (MAPTM),FCL,2550.0,2950.0,Only available in one source
Venezia (ITVCE),FCL,2280.0,2750.0,Only available in one source
Itapoa (BRIOA),FCL,1800.0,2150.0,Only available in one source
Bassens,Silver,,,Only available in one source
Agadir (MAAGA),FCL,2150.0,2400.0,Only available in one source
Baton Rouge (USBTR),FCL,5500.0,5700.0,Only available in one source
Shuwaikh,Silver,5000.0,6390.0,Only available in one source
Geneve (CHGVA),FCL,4650.0,5250.0,Only available in one source
Vigo (ESVGO),FCL,3100.0,3450.0,Only available in one source
Hammad Port - QAHMD,FCL,5100.0,7300.0,Only available in one source
Rabat (MARBA),FCL,5000.0,6150.0,Only available in one source
Nassau Bahamas,Silver,12290.0,15970.0,Only available in one source
Boston (USBOS),FCL,5200.0,6250.0,Only available in one source
Miami,Silver,4940.0,5015.0,Only available in one source
Riyadh,Silver,3360.0,4000.0,Only available in one source
Kansas City (USKCK),FCL,7150.0,7350.0,Only available in one source
Ashdod - ILASH,FCL,1900.0,2150.0,Only available in one source
Auckland,Silver,4310.0,4610.0,Only available in one source
Willemstad (CWWIL),FCL,6900.0,8250.0,Only available in one source
Tacoma (USTIW),FCL,9350.0,9950.0,Only available in one source
Aqaba - JOAQJ,FCL,5050.0,7250.0,Only available in one source
Fos sur Mer,Silver,2915.0,3360.0,Only available in one source
La Guaira,Silver,,,Only available in one source
Amsterdam (NLAMS),FCL,2550.0,2850.0,Only available in one source
Halifax Port,Silver,,,Only available in one source
Winnipeg,FCL,7450.0,8700.0,Only available in one source
Vienna (ATVIE),FCL,2750.0,3250.0,Only available in one source
Haifa,Silver,3155.0,3650.0,Only available in one source
Montreal (CAMTR),FCL,6250.0,6650.0,Only available in one source
Calgary (CACAL),FCL,6400.0,8100.0,Only available in one source
Piraeus (GRPIR),FCL,2300.0,2750.0,Only available in one source
Port of Spain (TTPOS),FCL,5000.0,5400.0,Only available in one source
Dakar,FCL,3350.0,4500.0,Only available in one source
Praga (CZPRG),FCL,3100.0,3600.0,Only available in one source
"Montreal Port, CA (CAMTR)",AiresDS,6062.0,6201.0,Only available in one source
Bremen,Silver,3180.0,3380.0,Only available in one source
Chicago (USCHI),FCL,6250.0,7000.0,Only available in one source
New Delhi,Silver,5900.0,7360.0,Only available in one source
Nassau Bahamas NEW PROVIDENCE ISLAND (BSNAS),AiresDS,10770.0,13993.0,Only available in one source
Prague,Silver,3360.0,3745.0,Only available in one source
Naples (ITNAP),FCL,2300.0,2600.0,Only available in one source
Haifa - ILHFA,FCL,1900.0,2450.0,Only available in one source
Manaus (BRMAO),FCL,3400.0,3900.0,Only available in one source
Felixstowe,Silver,3610.0,4500.0,Only available in one source
Abu Dhabi - AEAUH,AiresDS,4754.0,5998.0,Only available in one source
Montoir DE BRETAGNE (FRMTX),AiresDS,2319.0,3257.0,Only available in one source
Tunes (Tunis) - TUTUN,FCL,2300.0,3800.0,Only available in one source
Manzanillo (México),Silver,5695.0,7635.0,Only available in one source
Muscat - OMMCT,FCL,3200.0,2900.0,Only available in one source
Dubai - AEDXB,FCL,3100.0,2800.0,Only available in one source
Quito (ECUIO),FCL,4950.0,5450.0,Only available in one source
Grangemouth,Silver,3550.0,4220.0,Only available in one source
cincinnati (USCVG),FCL,6900.0,7150.0,Only available in one source
Beirut - LBBEY,FCL,3200.0,3700.0,Only available in one source
Copenhagen,Silver,2930.0,4050.0,Only available in one source
Lagos,Silver,,,Only available in one source
Doha - QADOH,FCL,2900.0,2750.0,Only available in one source
Casablanca (MACAS),FCL,2400.0,3050.0,Only available in one source
Itajai (BRITJ),FCL,1650.0,2000.0,Only available in one source
Melbourne (AUMEL),FCL,2350.0,2450.0,Only available in one source
Onne (NGONN),AiresDS,2410.0,6962.0,Only available in one source
Jakarta - IDJKT,FCL,2150.0,2350.0,Only available in one source
Tauranga,Silver,4300.0,4600.0,Only available in one source
Guayaquil (ECGYE),AiresDS,3616.0,3961.0,Only available in one source
Saskatoon,FCL,7200.0,8350.0,Only available in one source
Shanghai - CNSHA,FCL,2200.0,2400.0,Only available in one source
Cagliaria,Silver,,,Only available in one source
Cartagena Port Colombia (COCTG),AiresDS,3019.0,3118.0,Only available in one source
Johannesburg (ZAJBN),FCL,3100.0,3650.0,Only available in one source
Soedertaelje (SESOE),FCL,3400.0,4600.0,Only available in one source
SUAPE (BRSUA),AiresDS,1279.0,1938.0,Only available in one source
Haifa (ILHFA),AiresDS,2007.0,2444.0,Only available in one source
Lima (PELIM),FCL,4650.0,5150.0,Only available in one source
Rio Grande ( BRRIG),FCL,1650.0,1950.0,Only available in one source
Long Beach CA (USLGB),Silver,5135.0,5385.0,Only available in one source
Miami FL,FCL,4750.0,5000.0,Only available in one source
Jacksonville (USJAX),FCL,5800.0,6000.0,Only available in one source
Napoles,Silver,2930.0,3920.0,Only available in one source
Adelaide (AUADL),FCL,2350.0,2350.0,Only available in one source
New Delhi - INDEL,FCL,3700.0,5450.0,Only available in one source
Puerto Barrios (GTPBR),AiresDS,2970.0,3320.0,Only available in one source
Liverpool (GBLIV),FCL,2550.0,2750.0,Only available in one source
Jacksonville,Silver,5750.0,6020.0,Only available in one source
Estocolmo (SESTO),Silver,,,Only available in one source
