destino,veinte,cuarenta,port_code,source
Montreal (CAMTR),6250.0,6650,CAMTR,FCL
Muscat - OMMCT,3200.0,2900,OMMCT,FCL
Naples (ITNAP),2300.0,2600,ITNAP,FCL
Navegantes (BRNVT),1650.0,2000,BRNVT,FCL
New Delhi - INDEL,3700.0,5450,INDEL,FCL
New Orleans (USMSY),4700.0,5000,USMSY,FCL
New York (USNYC),5250.0,5800,USNYC,FCL
Nhava Sheva - INNSA,2850.0,5450,INNSA,FCL
Norfolk (USORF),5800.0,6000,USORF,FCL
Oakland (USOAK),6300.0,6750,USOAK,FCL
Panama city (PAPTY),4200.0,4700,PAPTY,FCL
Paris (FRPAR),2700.0,2950,FRPAR,FCL
Pecem (BRPEC),2150.0,2550,BRPEC,FCL
Perth (AUPER),5100.0,5450,AUPER,FCL
Phoenix (USPHX),6550.0,6800,USPHX,FCL
Piraeus (GRPIR),2300.0,2750,GRPIR,FCL
Pittsburg (USPIT),5900.0,6750,USPIT,FCL
Port Everglades (USPEF),5000.0,5400,USPEF,FCL
Port of Spain (TTPOS),5000.0,5400,TTPOS,FCL
Poti - GEPTI,2300.0,2550,GEPTI,FCL
Praga (CZPRG),3100.0,3600,CZPRG,FCL
Puerto Limon (CRLIO),4400.0,4950,CRLIO,FCL
Puerto Moin (CRPMN),3800.0,4300,CRPMN,FCL
Quito (ECUIO),4950.0,5450,ECUIO,FCL
Rabat (MARBA),5000.0,6150,MARBA,FCL
Rades (TNRDS),2400.0,3950,TNRDS,FCL
Regina,7150.0,8350,,FCL
Rio de Janerio (BRRIO ),2000.0,2250,BRRIO,FCL
Rio Grande ( BRRIG),1650.0,1950,BRRIG,FCL
Rio Haina (DOHAI),3900.0,4400,DOHAI,FCL
Roma (ITRMX),3250.0,3450,ITRMX,FCL
Rotterdam (NLRTM),2250.0,2300,NLRTM,FCL
Salt Lake City (USSLC),7050.0,7500,USSLC,FCL
Salvador (BRSSA),2300.0,2500,BRSSA,FCL
