destino,veinte,cuarenta,port_code,source
Madrid (ESMAD),2470.0,2580.0,ESMAD,EXIM
Malaga (ESAGP),1820.0,2030.0,ESAGP,EXIM
Managua (NIMGA),5420.0,6830.0,NIMGA,EXIM
Manaus (BRMAO),2820.0,3130.0,BRMAO,EXIM
Manila - PHMNL,1620.0,1630.0,PHMNL,EXIM
Manzanillo (PAMIT),3170.0,3480.0,PAMIT,EXIM
Melbourne (AUMEL),1770.0,1680.0,AUMEL,EXIM
Mexico city (MXMEX),3970.0,4430.0,MXMEX,EXIM
Miami FL,4170.0,4230.0,,EXIM
Minneapolis (USMES),6920.0,7080.0,USMES,EXIM
Montevideo (UYMVD),1320.0,1430.0,UYMVD,EXIM
Montoir de Bretagne (FRMTX),2220.0,2580.0,FRMTX,EXIM
Montoir de Bretagne (FRMTX),1770.0,2430.0,FRMTX,EXIM
Montreal (CAMTR),5670.0,5880.0,CAMTR,EXIM
Muscat - OMMCT,2620.0,2130.0,OMMCT,EXIM
Naples (ITNAP),1720.0,1830.0,ITNAP,EXIM
Navegantes (BRNVT),1070.0,1230.0,BRNVT,EXIM
New Delhi - INDEL,3120.0,4680.0,INDEL,EXIM
New Orleans (USMSY),4120.0,4230.0,USMSY,EXIM
New York (USNYC),4670.0,5030.0,USNYC,EXIM
Nhava Sheva - INNSA,2270.0,4680.0,INNSA,EXIM
Norfolk (USORF),5220.0,5230.0,USORF,EXIM
Oakland (USOAK),5720.0,5980.0,USOAK,EXIM
Oslo,2720.0,3180.0,,EXIM
Panama city (PAPTY),3620.0,3930.0,PAPTY,EXIM
Paris (FRPAR),2120.0,2180.0,FRPAR,EXIM
Pecem (BRPEC),1570.0,1780.0,BRPEC,EXIM
Perth (AUPER),4520.0,4680.0,AUPER,EXIM
Phoenix (USPHX),5970.0,6030.0,USPHX,EXIM
Piraeus (GRPIR),1720.0,1980.0,GRPIR,EXIM
Pittsburg (USPIT),5320.0,5980.0,USPIT,EXIM
Port Everglades (USPEF),4420.0,4630.0,USPEF,EXIM
Port of Spain (TTPOS),4420.0,4630.0,TTPOS,EXIM
Poti - GEPTI,1720.0,1780.0,GEPTI,EXIM
Praga (CZPRG),2520.0,2830.0,CZPRG,EXIM
Puerto Limon (CRLIO),3820.0,4180.0,CRLIO,EXIM
Puerto Moin (CRPMN),3220.0,3530.0,CRPMN,EXIM
Quito (ECUIO),4370.0,4680.0,ECUIO,EXIM
Rabat (MARBA),4420.0,5380.0,MARBA,EXIM
Rades (TNRDS),1820.0,3180.0,TNRDS,EXIM
Regina,6570.0,7580.0,,EXIM
Rio de Janerio (BRRIO ),1420.0,1480.0,BRRIO,EXIM
Rio Grande ( BRRIG),1070.0,1180.0,BRRIG,EXIM
Rio Haina (DOHAI),3320.0,3630.0,DOHAI,EXIM
Roma (ITRMX),2670.0,2680.0,ITRMX,EXIM
Rotterdam (NLRTM),1670.0,1530.0,NLRTM,EXIM
Salt Lake City (USSLC),6470.0,6730.0,USSLC,EXIM
Salvador (BRSSA),1720.0,1730.0,BRSSA,EXIM
San Antonio (CLSAI),3370.0,3730.0,CLSAI,EXIM
San jose CR (CRSJO),3820.0,4230.0,CRSJO,EXIM
San Juan (PRSJU),3820.0,4230.0,PRSJU,EXIM
Santiago (CLSCL),4120.0,4430.0,CLSCL,EXIM
Santo Domingo (DOSDQ),3420.0,3630.0,DOSDQ,EXIM
Santos (BRSSZ),1070.0,1130.0,BRSSZ,EXIM
Saskatoon,6620.0,7580.0,,EXIM
Savannah (USSAV),4420.0,4630.0,USSAV,EXIM
Seatlle (USSEA),4970.0,6330.0,USSEA,EXIM
Shanghai - CNSHA,1620.0,1630.0,CNSHA,EXIM
Shuwaikh Port - KWSWK,4620.0,5980.0,KWSWK,EXIM
Sines (PTSIE),2220.0,2080.0,PTSIE,EXIM
