destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
Atlanta (USATL),USATL,,Atlanta (USATL),Atlanta (USATL),,,6150.0,6500.0,6695.0,6850.0,6150.0,6695.0,545.0,8.86178861788618,FCL,6500.0,6850.0,350.0,5.384615384615385,FCL,2,fuzzy
Chicago (via NYC) / Chicago (USCHI),USCHI,,Chicago (USCHI),Chicago (via NYC),,,6250.0,7000.0,6800.0,7000.0,6250.0,6800.0,550.0,8.799999999999999,FCL,7000.0,7000.0,0.0,0.0,FCL,2,fuzzy
Charlotte (USCLT) / Charlotte,USCLT,,Charlotte (USCLT),Charlotte,,,6200.0,6450.0,6695.0,6850.0,6200.0,6695.0,495.0,7.983870967741935,FCL,6450.0,6850.0,400.0,6.2015503875969,FCL,2,fuzzy
Cleveland (USCLE),USCLE,,Cleveland (USCLE),Cleveland (USCLE),,,6450.0,7150.0,6900.0,7150.0,6450.0,6900.0,450.0,6.976744186046512,FCL,7150.0,7150.0,0.0,0.0,FCL,2,fuzzy
Veracruz (MXVER),MXVER,Veracruz (MXVER),Veracruz (MXVER),Veracruz (MXVER),3409.0,3158.0,3600.0,4100.0,,,3409.0,3600.0,191.0,5.602816075095336,AiresDS,3158.0,4100.0,942.0,29.829005699810008,AiresDS,3,exact
Dallas (USDAL),USDAL,,Dallas (USDAL),Dallas (USDAL),,,5450.0,5900.0,5690.0,5890.0,5450.0,5690.0,240.0,4.4036697247706424,FCL,5890.0,5900.0,10.0,0.1697792869269949,Silver,2,fuzzy
Louisiana (USLUA),USLUA,,Louisiana (USLUA),Louisiana (USLUA),,,7400.0,7750.0,7520.0,7770.0,7400.0,7520.0,120.0,1.6216216216216217,FCL,7750.0,7770.0,20.0,0.25806451612903225,FCL,2,fuzzy
Madrid (ESMAD),ESMAD,,Madrid (ESMAD),Madrid (ESMAD),,,3050.0,3350.0,3090.0,3590.0,3050.0,3090.0,40.0,1.3114754098360655,FCL,3350.0,3590.0,240.0,7.164179104477612,FCL,2,fuzzy
Denver (USDEN),USDEN,,Denver (USDEN),Denver (USDEN),,,6850.0,7400.0,6900.0,7390.0,6850.0,6900.0,50.0,0.7299270072992701,FCL,7390.0,7400.0,10.0,0.13531799729364005,Silver,2,fuzzy
"Puerto de Lanzarote, Islas Canarias (Arrecife de lanzarote) / Puerto de Lanzarote, Islas Canarias",,"Puerto de Lanzarote, Islas Canarias (Arrecife de lanzarote)",,"Puerto de Lanzarote, Islas Canarias",3338.0,4285.0,,,,,3338.0,3338.0,0.0,0.0,AiresDS,4285.0,4285.0,0.0,0.0,AiresDS,2,fuzzy
Estocolmo(SESTO) / Estocolmo (SESTO),SESTO,,Estocolmo(SESTO),Estocolmo (SESTO),,,3700.0,4000.0,,,3700.0,3700.0,0.0,0.0,FCL,4000.0,4000.0,0.0,0.0,FCL,2,fuzzy
"Montreal Port, CA (CAMTR) / Montreal Port",CAMTR,"Montreal Port, CA (CAMTR)",,Montreal Port,6062.0,6201.0,,,,,6062.0,6062.0,0.0,0.0,AiresDS,6201.0,6201.0,0.0,0.0,AiresDS,2,fuzzy
Santiago (CLSCL),CLSCL,,Santiago (CLSCL),Santiago (CLSCL),,,4700.0,5200.0,,,4700.0,4700.0,0.0,0.0,FCL,5200.0,5200.0,0.0,0.0,FCL,2,fuzzy
"Santa Cruz Tenerife (ESSCT) / Santa Cruz, Tenerife",ESSCT,Santa Cruz Tenerife (ESSCT),,"Santa Cruz, Tenerife",1772.0,1540.0,,,,,1772.0,1772.0,0.0,0.0,AiresDS,1540.0,1540.0,0.0,0.0,AiresDS,2,fuzzy
