destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
Shanghai (CNSHA) / Shanghai - CNSHA,CNSHA,Shanghai (CNSHA),Shanghai - CNSHA,Shanghai (CNSHA),1426.0,1732.0,2200.0,2400.0,2450.0,2290.0,1426.0,2450.0,1024.0,71.80925666199158,AiresDS,1732.0,2400.0,668.0,38.56812933025404,AiresDS,3,fuzzy
Gdynia (PLGDY) / Gdynia,PLGDY,Gdynia (PLGDY),Gdynia (PLGDY),Gdynia,1885.0,2000.0,2350.0,2900.0,3230.0,3400.0,1885.0,3230.0,1345.0,71.3527851458886,AiresDS,2000.0,3400.0,1400.0,70.0,AiresDS,3,fuzzy
Puerto Barrios (GTPBR) / Puerto Barrios,GTPBR,Puerto Barrios (GTPBR),,Puerto Barrios,2970.0,3320.0,,,5050.0,5490.0,2970.0,5050.0,2080.0,70.03367003367003,AiresDS,3320.0,5490.0,2170.0,65.36144578313254,AiresDS,2,fuzzy
Puerto Limon (CRLIO),CRLIO,Puerto Limon (CRLIO),Puerto Limon (CRLIO),Puerto Limon (CRLIO),2970.0,3320.0,4400.0,4950.0,5050.0,5490.0,2970.0,5050.0,2080.0,70.03367003367003,AiresDS,3320.0,5490.0,2170.0,65.36144578313254,AiresDS,3,exact
Genoa (ITGOA),ITGOA,Genoa (ITGOA),Genoa (ITGOA),Genoa (ITGOA),1667.0,1964.0,2150.0,2750.0,2815.0,3160.0,1667.0,2815.0,1148.0,68.86622675464908,AiresDS,1964.0,3160.0,1196.0,60.896130346232184,AiresDS,3,exact
Valencia (ESVLC),ESVLC,Valencia (ESVLC),Valencia (ESVLC),Valencia (ESVLC),1667.0,1964.0,2000.0,2450.0,2800.0,3160.0,1667.0,2800.0,1133.0,67.96640671865627,AiresDS,1964.0,3160.0,1196.0,60.896130346232184,AiresDS,3,exact
Manila - PHMNL / Manila (PHMNL),PHMNL,Manila (PHMNL),Manila - PHMNL,Manila,1539.0,1678.0,2200.0,2400.0,2585.0,2775.0,1539.0,2585.0,1046.0,67.96621182586094,AiresDS,1678.0,2775.0,1097.0,65.37544696066746,AiresDS,3,fuzzy
Algeciras (ESALG),ESALG,Algeciras (ESALG),Algeciras (ESALG),Algeciras (ESALG),1717.0,2114.0,2250.0,2650.0,2873.0,3331.0,1717.0,2873.0,1156.0,67.32673267326733,AiresDS,2114.0,3331.0,1217.0,57.5685903500473,AiresDS,3,exact
Lisboa (PTLIS),PTLIS,Lisboa (PTLIS),Lisboa (PTLIS),Lisboa (PTLIS),1717.0,2114.0,2100.0,2550.0,2870.0,3310.0,1717.0,2870.0,1153.0,67.15200931857892,AiresDS,2114.0,3310.0,1196.0,56.5752128666036,AiresDS,3,exact
Sydney (AUSYD),AUSYD,Sydney (AUSYD),Sydney (AUSYD),Sydney (AUSYD),2165.0,2362.0,2350.0,2450.0,3600.0,4300.0,2165.0,3600.0,1435.0,66.28175519630484,AiresDS,2362.0,4300.0,1938.0,82.04911092294665,AiresDS,3,exact
Haifa - ILHFA / Haifa (ILHFA),ILHFA,Haifa (ILHFA),Haifa - ILHFA,Haifa,2007.0,2444.0,1900.0,2450.0,3155.0,3650.0,1900.0,3155.0,1255.0,66.05263157894737,FCL,2444.0,3650.0,1206.0,49.345335515548285,AiresDS,3,fuzzy
Ashdod (ILASH) / Ashdod - ILASH,ILASH,Ashdod (ILASH),Ashdod - ILASH,Ashdod (ILASH),2007.0,2444.0,1900.0,2150.0,3152.0,3650.0,1900.0,3152.0,1252.0,65.89473684210526,FCL,2150.0,3650.0,1500.0,69.76744186046511,FCL,3,fuzzy
Fos sur Mer / Fos sur Mer (FRFOS),FRFOS,Fos sur Mer (FRFOS),Fos Sur Mer (FRFOS),Fos sur Mer,1767.0,2164.0,2650.0,3250.0,2915.0,3360.0,1767.0,2915.0,1148.0,64.96887379739672,AiresDS,2164.0,3360.0,1196.0,55.26802218114602,AiresDS,3,fuzzy
Copenhagen (DKCPH) / Copenhagen,DKCPH,Copenhagen (DKCPH),Copenhagen (DKCPH),Copenhagen,1785.0,2866.0,,3600.0,2930.0,4050.0,1785.0,2930.0,1145.0,64.14565826330532,AiresDS,2866.0,4050.0,1184.0,41.3119330076762,AiresDS,3,fuzzy
Constanta (ROCND) / Constanta,ROCND,Constanta (ROCND),,Constanta,1867.0,2264.0,,,3025.0,3390.0,1867.0,3025.0,1158.0,62.02463845741831,AiresDS,2264.0,3390.0,1126.0,49.734982332155475,AiresDS,2,fuzzy
New Delhi - INDEL / New Delhi,INDEL,,New Delhi - INDEL,New Delhi,,,3700.0,5450.0,5900.0,7360.0,3700.0,5900.0,2200.0,59.45945945945946,FCL,5450.0,7360.0,1910.0,35.04587155963303,FCL,2,fuzzy
Dublin (IEDUB),IEDUB,Dublin (IEDUB),Dublin (IEDUB),Dublin (IEDUB),2595.0,3569.0,2400.0,2900.0,3740.0,4770.0,2400.0,3740.0,1340.0,55.833333333333336,FCL,2900.0,4770.0,1870.0,64.48275862068965,FCL,3,exact
Lyttelton / Lyttelton (NZLYT),NZLYT,Lyttelton (NZLYT),Lyttelton (NZLYT),Lyttelton,3365.0,3812.0,2900.0,3050.0,4515.0,5010.0,2900.0,4515.0,1615.0,55.68965517241379,FCL,3050.0,5010.0,1960.0,64.26229508196721,FCL,3,fuzzy
Bogota (COBOG),COBOG,Bogota (COBOG),Bogota (COBOG),Bogota (COBOG),3415.0,4465.0,5250.0,5750.0,,,3415.0,5250.0,1835.0,53.733528550512446,AiresDS,4465.0,5750.0,1285.0,28.77939529675252,AiresDS,3,exact
Manzanillo (México) / Manzanillo (PAMIT),PAMIT,Manzanillo (PAMIT),Manzanillo (PAMIT),Manzanillo (México),4008.0,4397.0,3750.0,4250.0,5695.0,7635.0,3750.0,5695.0,1945.0,51.866666666666674,FCL,4250.0,7635.0,3385.0,79.64705882352942,FCL,3,fuzzy
