destino,original_destino,port_code,source,veinte,cuarenta,reason
Zurich (CHZRH),Zurich (CHZRH),CHZRH,EXIM,3200.0,3600.0,Only available in one source
Montevideo (UYMVD),Montevideo (UYMVD),UYMVD,EXIM,1900.0,2200.0,Only available in one source
cincinnati (USCVG),cincinnati (USCVG),USCVG,EXIM,6900.0,7150.0,Only available in one source
Bruselas (BEBRU),Bruselas (BEBRU),BEBRU,EXIM,3000.0,3450.0,Only available in one source
Bremen,Bremen,,Silver,3180.0,3380.0,Only available in one source
Montreal (CAMTR),Montreal (CAMTR),CAMTR,EXIM,6250.0,6650.0,Only available in one source
Thessaloniki (GRSKG),Thessaloniki (GRSKG),GRSKG,EXIM,3100.0,4250.0,Only available in one source
Toronto (CATOR),Toronto (CATOR),CATOR,EXIM,6250.0,6650.0,Only available in one source
Agadir (MAAGA),Agadir (MAAGA),MAAGA,EXIM,2150.0,2400.0,Only available in one source
Bangkok - THBKK,Bangkok - THBKK,THBKK,EXIM,2200.0,2350.0,Only available in one source
Beirut - LBBEY,Beirut - LBBEY,LBBEY,EXIM,3200.0,3700.0,Only available in one source
Praga (CZPRG),Praga (CZPRG),CZPRG,EXIM,3100.0,3600.0,Only available in one source
Sohar - OMSOH,Sohar - OMSOH,OMSOH,EXIM,2000.0,2500.0,Only available in one source
Caracas (VECCS),Caracas (VECCS),VECCS,EXIM,4850.0,5600.0,Only available in one source
Hammad Port - QAHMD,Hammad Port - QAHMD,QAHMD,EXIM,5100.0,7300.0,Only available in one source
Lima (PELIM),Lima (PELIM),PELIM,EXIM,4650.0,5150.0,Only available in one source
Rio Haina (DOHAI),Rio Haina (DOHAI),DOHAI,EXIM,3900.0,4400.0,Only available in one source
Baton Rouge (USBTR),Baton Rouge (USBTR),USBTR,EXIM,5500.0,5700.0,Only available in one source
Boston (USBOS),Boston (USBOS),USBOS,EXIM,5200.0,6250.0,Only available in one source
Quito (ECUIO),Quito (ECUIO),ECUIO,EXIM,4950.0,5450.0,Only available in one source
Apapa (NGAPP),Apapa (NGAPP),NGAPP,EXIM,4550.0,5700.0,Only available in one source
Milan,Milan,,Silver,3450.0,3799.0,Only available in one source
Mexico city (MXMEX),Mexico city (MXMEX),MXMEX,EXIM,4550.0,5200.0,Only available in one source
Dubai - AEDXB,Dubai - AEDXB,AEDXB,EXIM,3100.0,2800.0,Only available in one source
Managua (NIMGA),Managua (NIMGA),NIMGA,EXIM,6000.0,7600.0,Only available in one source
Saskatoon,Saskatoon,,EXIM,7200.0,8350.0,Only available in one source
Salt Lake City (USSLC),Salt Lake City (USSLC),USSLC,EXIM,7050.0,7500.0,Only available in one source
Johannesburg (ZAJBN),Johannesburg (ZAJBN),ZAJBN,EXIM,3100.0,3650.0,Only available in one source
Gdansk (PLGDN),Gdansk (PLGDN),PLGDN,EXIM,2050.0,2550.0,Only available in one source
Cagliaria,Cagliaria,,Silver,,,Only available in one source
Navegantes (BRNVT),Navegantes (BRNVT),BRNVT,EXIM,1650.0,2000.0,Only available in one source
Phoenix (USPHX),Phoenix (USPHX),USPHX,EXIM,6550.0,6800.0,Only available in one source
Paris (FRPAR),Paris (FRPAR),FRPAR,EXIM,2700.0,2950.0,Only available in one source
Tunes (Tunis) - TUTUN,Tunes (Tunis) - TUTUN,TUTUN,EXIM,2300.0,3800.0,Only available in one source
